星座,No,名前,メインビルドタイプ,類似の名前
hand,062,白山恭男,tension,白山恭男
hand,063,大上為男,special,大上為男
hand,064,華吹宏作,rough,華吹宏作
hand,065,白坂映,bond,白坂映
hand,066,山田貯斗,tension,山田栄斗
hand,067,宇野希望,special,宇野希望
hand,068,樋口厚治郎,special,樋口厚治郎
hand,069,平岩竜太郎,special,平岩竜太郎
hand,070,吉勝美,bond,吉勝美
hand,071,桂本健四郎,rough,桂本健四郎
hand,072,ナセル・ムスタファ,rough,ナセル・ムスタファ
hand,073,普久原野枝美,counter,普久原野枝美
hand,074,タラル・八マド,justice,タラル・ハマド
hand,075,チヨウ・ミヨンホホ,tension,チョウ・ミョンホ
hand,076,フレデイ・マツクイーン,special,フレディ・マックイーン
hand,077,口ココ・ウル條,counter,ロココ・ウルパ
hand,078,ギセレス・バレツト,justice,ギャレス・バレット
hand,079,ディインゴ,special,ディンゴ
hand,080,カカバーロロ・オリビエラ,counter,カバーロ・オリビエラ
hand,081,フォオグス,rough,フォクス
hand,082,モンストロロ,justice,モンストロ
hand,083,アントン・ガッツーゾ,tension,アントン・ガッツーゾ
hand,084,ロゼピオ・デイアマンテ,special,ロゼオ・ディアマンテ
hand,085,ラモン・マルチネス,rough,ラモン・マルチネス
hand,086,ゾラニ・バロイ,tension,ゾラニ・バロイ
hand,087,五所涼大,tension,五所涼太
hand,088,属性賀特殊,rough,属性賀特殊
hand,089,砂田サルラ,counter,砂田サハラ
hand,090,真島佳子,special,真鳥佳子
hand,091,赤切政辰,bond,赤切政辰
hand,092,長等準次,special,長等準次
hand,093,令官司,special,令官司
hand,094,棒尾星五,counter,樫尾星五
hand,095,含ノ院佐之助,special,倉ノ院佐之助
hand,096,三波十次,special,三波十次
hand,097,光成敦則,rough,金成敦則
hand,098,鉄奴田政志,bond,鉄雄田政志
hand,099,狩屋マサキ,tension,狩屋マサキ
hand,100,小坂元成,bond,小坂元成
hand,101,振賀操馬,bond,猿賀操馬
hand,102,一之宮仁衣弥,counter,一之宮仁衣弥
hand,103,,justice,
hand,104,井柳丈次,justice,井柳丈次
hand,105,千宮路大和,counter,千宮路大和
hand,106,安守地春,rough,安守地春
hand,107,連野巻人,special,蛇野巻人
hand,108,鮎川腕,tension,鮎川瞬
hand,109,小岩羊介,counter,小岩羊介
hand,110,歌舞天寺矢思,special,歌舞天寺矢駈
hand,111,道筋隈信,bond,道筋隈信
hand,112,礁川剛辰,rough,奪川剛辰
hand,113,格根刃闘,counter,格根刃闘
hand,114,午山御狂士,rough,-
hand,115,刺含リン,rough,刺倉リン
hand,116,吉根九蔵,rough,吉根九蔵
hand,117,美濃御史,special,美濃牟史
hand,118,江連午人,tension,連山濱人
hand,119,真次仁志,bond,真次仁志
hand,120,須永種摘,special,須永穂摘
hand,121,地瀬留介,rough,地瀬留介
hand,122,日比野清男,rough,日比野清男
hand,123,紫水晶,tension,紫水晶
hand,124,佐渡月樺,counter,佐渡丹樟
hand,125,四方山胴心,justice,四方山胴心
hand,126,回原蹴助,special,回原蹴助
hand,127,足黒芳一朗,counter,足黒芳一朗
hand,128,高円寺百世,tension,高円寺習也
hand,129,お上巣子刑事,special,お菓子刑事
hand,130,特乃攻軒,justice,特乃攻留
hand,131,東水都,special,鞠水都
hand,132,目買隻,bond,目貫隻
hand,133,独型木一生,counter,猫曽木一生
hand,134,ヤシャセ,bond,ヤシャ
hand,135,スティア,special,スティア
hand,136,ルード,rough,ルード
hand,137,八バース,rough,ババース
hand,138,比伊知美良,special,比伊知美良
hand,139,ヒナノ・マウビ,special,ヒナノ・マウピ
hand,140,メアリ・ロビンソン,counter,メアリ・ロビンソン
hand,141,小濱千次郎,counter,小濱千次郎
hand,142,巻田数子,special,巻田数子
hand,143,真盛均多留,counter,真盛均多留
hand,144,ケイン・ウィジエット,special,ケイン・ウィジェット
hand,145,釣称サイヤ,justice,鈴森サイヤ
hand,146,カイオス・ダオ,counter,カイオス・ダオ
hand,147,野御守人,bond,門守只人
hand,148,,justice,
hand,149,王乃貞行,rough,王乃貞行
hand,150,大字稲花,counter,大字稲花
hand,151,薬院広世,special,薬院広也
hand,152,番大墨美,tension,番大黒美
hand,153,狭来来世,special,狭来来世
hand,154,昌田万兵衛,justice,白田万兵衛
hand,155,大石喪平,special,隕石豪平
hand,156,柳核,counter,柳核
hand,157,田之村将星,justice,田之村将星
hand,158,独狩鉄太,rough,猪狩鉄太
hand,159,,counter,
hand,160,堅道屋次郎,justice,堅道屋次郎
hand,161,福沢導吉,rough,福沢導吉
hand,162,諏佐野央児,counter,-
hand,163,太力雑岩史,rough,-
hand,164,小樽田朗介,special,小山田俊介
hand,165,江ノロ愛司郎,special,-
hand,166,小松田一仙,rough,小松田一仙
hand,167,九務静子,bond,九条静子
hand,168,円堂大介,justice,円堂大介
hand,169,荒矢大介,justice,荒矢大介
judge,001,柳光男,justice,柳光男
judge,002,屋形直人,justice,屋形直人
judge,003,九里山博士,justice,九里山博士
judge,004,ジル・ド・レ,justice,ジル・ド・レ
judge,005,久境道世,justice,久遠道也
judge,006,富良野紫苑,justice,富良野紫苑
judge,007,月光満,justice,月光満
judge,008,定規頑,justice,定規頑
judge,009,篤形刃,justice,桑形刃
judge,010,道場克治,justice,道場亮治
judge,011,玄武冬樹,justice,玄武冬樹
judge,012,花岡弾,justice,花岡強
judge,013,大鯉昇,justice,大鯉昇
judge,014,必相名,justice,-
judge,015,鴨川武一,justice,鴨川武一
judge,016,大和進,justice,大和進
judge,017,沙壁保,justice,塗壁保
judge,018,大坦純章,justice,大垣純章
judge,019,山形信洋,justice,山形信洋
judge,020,細江茂志,justice,細江茂志
judge,021,波村豊,justice,波村豊
judge,022,北雄石英,justice,北雄石英
judge,023,尾浦玲歩,justice,尾浦玲歩
judge,024,札名聡,justice,札名聡
judge,025,眠井俊郎,justice,眠井俊郎
judge,026,髪切徹也,justice,髪切徹也
judge,027,飛能仁,justice,飛龍仁
judge,028,水原弘也,justice,水原弘也
judge,029,雄谷直,justice,灰谷直
judge,030,,justice,
judge,031,草下元樹,justice,草下元樹
judge,032,藍染郁次,justice,藍染郁次
judge,033,現山天,justice,鴉山天
judge,034,流衣洗,justice,流衣洗
judge,035,,justice,
judge,036,坂下雅功,justice,坂下雅功
judge,037,浦田聡,justice,浦田聡
judge,038,負能旧,justice,-
judge,039,須田揚,justice,須田揚
judge,040,下円寸,justice,下円寸
judge,041,若井培平,justice,若井哲平
judge,042,渡辺映守,justice,渡辺映宏
judge,043,堅山夏,justice,堅山真
judge,044,真爪雅彦,justice,真爪雅彦
judge,045,科頑五郎,justice,碇頑五郎
judge,046,小川孝太郎,justice,小川孝太郎
judge,047,備流田光一,justice,備流田光一
judge,048,菅田央,justice,菅田厳
judge,049,,justice,
judge,050,,tension,
judge,051,玄界波人,justice,玄界波人
judge,052,,justice,
judge,053,親富孝,justice,親富孝
judge,054,矢木商史,justice,矢木尚史
judge,055,神部足,justice,神部貴
judge,056,尾威主人,justice,尾威主人
judge,057,星原月海,justice,星原月海
judge,058,野口学人,justice,野口学人
judge,059,浅野色葉,justice,浅野色葉
judge,060,砂子律夫,justice,砂子律夫
judge,061,丸尾愛葉,justice,丸尾愛葉
judge,062,染宮月香,justice,染宮月香
judge,063,向井秀司,justice,向井秀司
judge,064,芳国政一,justice,芳国政一
judge,065,江波静恵,justice,江波静恵
judge,066,田口吉竹,justice,田口吉穂
judge,067,桃河愛,justice,桃河愛
judge,068,粟生林橘,justice,粟生林檎
judge,069,東楽宰,justice,東条宰
judge,070,ガガガビアル,justice,ガビアル
judge,071,ドラゴ・ヒル,justice,ドラゴ・ヒル
judge,072,ベルデイオ・ズメラルド,justice,ベルディオ・ズメラルド
judge,073,八ファロ,justice,バファロ
judge,074,アデル・シディンク,justice,アデル・シディク
judge,075,エッジ・リッバパー,justice,エッジ・リッパー
judge,076,ジーン・ベベイカー,justice,ジーン・ベイカー
judge,077,マツト・アングル,justice,マット・アングル
judge,078,アントニオ・ガリウス,justice,アントニオ・ガリウス
judge,079,ロニー・ワイス,justice,ロニー・ワイス
judge,080,ナタル・ツオラ,justice,ナタル・ツォラ
judge,081,神代裕詩朗,justice,神代裕詩朗
judge,082,向唱舟,justice,-
judge,083,属性賀組織,justice,属性賀組織
judge,084,網場衣夜,justice,網場衣夜
judge,085,柴木激斗,justice,柴木激斗
judge,086,武登美清夫,justice,武登美清夫
judge,087,老尾明宗,justice,老尾明宗
judge,088,,justice,
judge,089,款佐住起,justice,宗佐住起
judge,090,沖宮拘乃,justice,沖宮敬乃
judge,091,伊奈波常刻,justice,伊奈波常刻
judge,092,,justice,
judge,093,逆崎無限,justice,逆崎無限
judge,094,山沢潜,justice,-
judge,095,井伊谷茂怪,justice,井伊谷茂惇
judge,096,石岩次郎,rough,石岩次郎
judge,097,取行麻世,justice,取行麻也
judge,098,大磯川太郎,justice,大磯川太郎
judge,099,路野進,justice,路野進
judge,100,筐山滝,justice,笹山滝
judge,101,和伊田主,justice,和伊田圭
judge,102,淡北幸四郎,justice,火北幸四郎
judge,103,伊鈴動,justice,伊鈴勲
judge,104,刑海列確,justice,-
judge,105,大田原邦生,justice,大田原邦生
judge,106,園日英斑美,justice,園日英智美
judge,107,神村島,justice,神村島
judge,108,粟生仁太郎,justice,粟生仁太郎
judge,109,風力園清雑香,justice,風乃園清羅香
judge,110,駒輔史,justice,駒輔史
judge,111,新東京,justice,新東京
judge,112,動山不美,justice,動山不美
judge,113,兄坂テル,justice,兜坂テル
judge,114,,justice,
judge,115,キヤセフテンジエイ,justice,キャプテンジェイ
judge,116,成見転大,justice,成見転太
judge,117,須久乱曹,justice,須久乱童
judge,118,男操,justice,曹操
judge,119,エスカカ・バメル,rough,エスカ・バメル
judge,120,男操,justice,曹操
judge,121,新鐘太助,justice,新鮮太助
judge,122,折本バンタダ,bond,-
judge,123,大島星矢,justice,大鳥星矢
judge,124,如落護狼,justice,磊落護狼
judge,125,比良平成,justice,比良平成
judge,126,ジーニー,justice,ジーニー
judge,127,ガウラ,justice,ガウラ
judge,128,ラウ・セム,justice,ラウ・セム
judge,129,ルンニス,justice,ハンニス
judge,130,ニー・人バル,justice,ニー・ベル
judge,131,八ドド・アツド,justice,バド・アッド
judge,132,ジフス,justice,ジラフ
judge,133,真武居剛人,bond,真武居剛人
judge,134,マドル,justice,マドル
judge,135,,justice,
judge,136,,counter,
judge,137,サリュー・エヴァン,special,サリュー・エヴァン
judge,138,円堂守,justice,円堂守
judge,139,カズチ,bond,カズチ
judge,140,オム,justice,オム
judge,141,クラッツチ,justice,クラッチ
judge,142,ノルマンド,justice,ノルマンド
judge,143,カウ・アロア,justice,カウ・アロア
judge,144,黒木善三,justice,黒木善三
judge,145,シンクグ・ログラム,justice,シンク・ログラム
judge,146,陣内何兵,justice,陣内伍兵
judge,147,黒原玲文,justice,黒原玲文
judge,148,責尾修人,justice,南尾修人
judge,149,村地神乃介,justice,村地神乃介
judge,150,ジューン・デビッツドソン,justice,ジューン・デビッドソン
judge,151,,justice,
judge,152,日百人咲汐,justice,-
judge,153,花妃屋数,justice,花丸屋数
judge,154,布袋大細,justice,布袋大綱
judge,155,五車寺愛花,justice,五重寺愛花
judge,156,寺路進未,justice,寺路進未
judge,157,潤守うすめ,justice,-
judge,158,スクワート・スワン,justice,スクワート・スワン
judge,159,下間憲正,justice,下間憲正
judge,160,アニキ,justice,大出アキ
judge,161,浅急有著,justice,浅葱有翔
judge,162,ダニエル・スタービン,rough,ダニエル・スタービン
judge,163,二階堂修吾,justice,二階堂修吾
lightning,001,円谷未知,special,円谷未知
lightning,002,枝木早樹,special,枝木早樹
lightning,003,緑川リロウジ,bond,緑川リュウジ
lightning,004,中岡慎太郎,tension,中岡慎太郎
lightning,005,ベノム・ブラグ,tension,ベノム・ブラグ
lightning,006,科頑五郎,tension,碇頑五郎
lightning,007,長谷部精児,special,長谷部精児
lightning,008,亜風炉照美,special,亜風炉照美
lightning,009,贅隠才次,special,霧隠才次
lightning,010,西垣守,counter,西垣守
lightning,011,判竹夫,special,判竹夫
lightning,012,不死礼,tension,不死祀
lightning,013,松野空介,tension,松野空介
lightning,014,聖徳泰治,special,聖徳泰治
lightning,015,三国賢士,tension,三国賢士
lightning,016,明井評吾,special,明井評吾
lightning,017,,tension,
lightning,018,宇枝歴人,tension,宇枝歴人
lightning,019,河伯童子,tension,河伯童子
lightning,020,折田造,special,折田造
lightning,021,合方調,tension,合方調
lightning,022,伊集院満,special,伊集院満
lightning,023,半野克,tension,虹野克
lightning,024,晴田高大,tension,蛸田轟大
lightning,025,江幅葉,special,江幡葉
lightning,026,上月邦宏,tension,上月邦宏
lightning,027,錠山広,special,鯨山広
lightning,028,大根成弥,special,大根成弥
lightning,029,阿久鋭矢,tension,阿久鋭矢
lightning,030,針辻大五郎,special,針辻大五郎
lightning,031,縄代宮,tension,縄代亮
lightning,032,オフ音膝,tension,オフ斎藤
lightning,033,大場充則,tension,大場充則
lightning,034,大高光洋,tension,大高光洋
lightning,035,相ビ原朝夫,tension,梶原朝夫
lightning,036,声野亮介,special,声野亮介
lightning,037,,tension,
lightning,038,沖ノ島款,special,沖ノ島宗
lightning,039,筐本慎二,tension,笹本慎二
lightning,040,太宰梅吉,tension,太宰梅吉
lightning,041,場二仕,special,場寅仕
lightning,042,悟里開,tension,悟里開
lightning,043,自亜米佳,special,自亜米佳
lightning,044,,tension,
lightning,045,沢村上腕,tension,沢村瞬
lightning,046,山崎咲音,tension,山崎咲音
lightning,047,大出アキ,special,大出アキ
lightning,048,竹中敏晃,tension,竹中敏晃
lightning,049,下矢仁美,tension,下矢仁美
lightning,050,水沼志帆,special,水沼志帆
lightning,051,内藤有人,tension,内藤有人
lightning,052,広岡千早花,tension,広岡千早花
lightning,053,高田心菜,tension,高田心菜
lightning,054,膝枝布花,tension,藤枝布花
lightning,055,秀宝滋弥,special,秀宝滋弥
lightning,056,相山敵美,tension,相山尚美
lightning,057,人谷久,special,釘谷久
lightning,058,畑山有,tension,畑山有
lightning,059,吉川大史,special,吉川基史
lightning,060,作世秀光,tension,作世秀光
lightning,061,松村綺依,special,松村綺依
lightning,062,波留竜之介,tension,波留竜之介
lightning,063,双瀬理未,tension,双瀬萌未
lightning,064,角和昭文,special,須和文章
lightning,065,山流邦夫,tension,山流邦夫
lightning,066,高世保奈美,tension,高世保奈美
lightning,067,笠山走,special,笠山走
lightning,068,欧後欠介,tension,欧後欽介
lightning,069,我王剛鉄,tension,我王剛鉄
lightning,070,ラッツティイモ・オバーレ,special,ラッティモ・オパーレ
lightning,071,ホルへ・オルテガ,tension,ホルヘ・オルテガ
lightning,072,人バル・ベペクヨゴヨン,tension,パク・ペクヨン
lightning,073,クライブプ・シザース,tension,クライブ・シザース
lightning,074,チヨ・ジョンス,tension,チョ・ジョンス
lightning,075,吉良瞳子,special,吉良瞳子
lightning,076,緑川リコウジ,bond,緑川リュウジ
lightning,077,,special,
lightning,078,ロブ・ババーカー,special,ロブ・パーカー
lightning,079,リカルド・アアグエロ,tension,リカルド・アグエロ
lightning,080,グリロ・サントス,tension,グリロ・サントス
lightning,081,ラガルート・カルロス,tension,ラガルート・カルロス
lightning,082,クロウ,special,クロウ
lightning,083,ジャセッカル,special,ジャッカル
lightning,084,ケーン・サイトー,special,ケーン・サイトー
lightning,085,ゴゴヨーテ,tension,コヨーテ
lightning,086,件足命,tension,伴足命
lightning,087,山札始,special,山札始
lightning,088,デイィインガガガ・フィグブラン,tension,ディンガ・フィグラン
lightning,089,ハムブレロ・ツィン人ババ,tension,ムブレロ・ツィンバ
lightning,090,ヤン・オルデノ,tension,ヤン・オルデノ
lightning,091,マキシミリアン・ミラソツ,special,マキシミリアン・ミラツ
lightning,092,スキッド・ウー,tension,スキッド・ウー
lightning,093,イサーク・ゼセサル,tension,イサーク・セサル
lightning,094,エルフェエル,tension,エルフェル
lightning,095,梶健斗,special,棍健斗
lightning,096,多治順風,special,多治順風
lightning,097,忌部嘱司郎,tension,忌部啓司郎
lightning,098,彫有祖内拘晴,tension,彫之内敬晴
lightning,099,穴沢希多留,tension,穴沢希多留
lightning,100,机有,special,-
lightning,101,乳井和和華子,tension,乳井和華子
lightning,102,相良軽聖,special,相良幹聖
lightning,103,封地績,tension,封地縛
lightning,104,天駆流罰也,tension,天駆流智也
lightning,105,,tension,
lightning,106,石作秋幸,tension,石作秋兼
lightning,107,破我力,special,破我力
lightning,108,方悦恵武,special,方違恵武
lightning,109,委織維子,tension,錦織維子
lightning,110,桃山我聞,tension,桃山我聞
lightning,111,責楽房斗,tension,南条房斗
lightning,112,毒島兼頁,special,毒島兼真
lightning,113,晴井水成,tension,晴井水成
lightning,114,村上軍記,tension,村上軍記
lightning,115,月島景秀,tension,月島景秀
lightning,116,宝電竜平,tension,宝亀竜平
lightning,117,華花原蝶子,tension,華花原蝶子
lightning,118,石川神兵,tension,石川神兵
lightning,119,染谷伝統,tension,染谷伝統
lightning,120,相模俊放,tension,相模俊彦
lightning,121,府老明貞,tension,府老明貞
lightning,122,石ノ神栄治,special,五ノ神栄治
lightning,123,庶木実美,tension,虚木実美
lightning,124,古戸冥次,tension,古戸冥次
lightning,125,二角孝男,tension,二角孝男
lightning,126,小津野役,special,小津野役
lightning,127,照灯君立,tension,照灯君善
lightning,128,久流間歯振,tension,久流間歯振
lightning,129,大賀美音男,tension,大賀美音男
lightning,130,駆茂,tension,駆茂
lightning,131,境長音久,tension,境長音久
lightning,132,額外菅夫,tension,額鉢菅夫
lightning,133,外川近之助,tension,外川近之助
lightning,134,堂波天継,tension,堂波天継
lightning,135,志和荷賀実人,tension,志荷賀実人
lightning,136,芦賀唯嘉,special,芦賀唯嘉
lightning,137,礼野静,special,礼野静
lightning,138,巴ジーダ,tension,巴ジータ
lightning,139,釣林六々,tension,鈴林凛々
lightning,140,,tension,
lightning,141,三場りお,tension,三場りお
lightning,142,小野田裂夫,tension,小野田裂夫
lightning,143,獲田分,special,鎖田分
lightning,144,知念小石,tension,知念小石
lightning,145,月読三日,special,月読三日
lightning,146,害謙信,tension,割戸謙信
lightning,147,麻布良一,tension,麻布良一
lightning,148,雷同メイコ,special,雷同メイコ
lightning,149,千代木希,tension,千代木希
lightning,150,フェエツダ,tension,-
lightning,151,デッキ,tension,デッキ
lightning,152,シーフ,tension,シープ
lightning,153,稲葉大安,special,稲葉大安
lightning,154,エンギル,special,エンギル
lightning,155,ドリル,tension,ドリル
lightning,156,,tension,
lightning,157,ジャン・カトー,special,ジャン・カトー
lightning,158,馬場フリム,tension,馬場クリム
lightning,159,ウルル・ア似,special,ウルル・アパ
lightning,160,ウルル・ア似,special,ウルル・アパ
lightning,161,シモン・クルール,special,シモン・クルール
lightning,162,太布里吾,tension,太布里杏
lightning,163,夏元怪,tension,夏元惇
lightning,164,久世麻更,special,久世麻更
lightning,165,,tension,
lightning,166,紅移,tension,紅菊
lightning,167,Cグマ,tension,Ｃグマ
lightning,168,リラ・サンク,special,リラ・サンク
lightning,169,照井眠宮,tension,照井眠宮
meteor,001,猿田登,rough,猿田登
meteor,002,勝喜快閉,bond,勝喜快翔
meteor,003,ニクラス・カスター,special,ニクラス・カスター
meteor,004,速吹烈風,bond,速吹烈風
meteor,005,風7葉丹,tension,風乃葉丹
meteor,006,椎野育生,justice,槍野育生
meteor,007,団土弾,justice,団土弾
meteor,008,速水下刃,special,速水真刃
meteor,009,興津蒼空,justice,興津蒼空
meteor,010,加藤段,counter,加藤段
meteor,011,跳山段,bond,跳山段
meteor,012,猿飛佐之助,rough,猿飛佐之助
meteor,013,鎌井達夫,special,鎌井達夫
meteor,014,霊幻道久,tension,霊幻道久
meteor,015,鳴門潮,special,鳴門潮
meteor,016,源義奴,rough,源義雄
meteor,017,育密牛,counter,-
meteor,018,古部智人,tension,占部智人
meteor,019,二星横矢,bond,彗星槙矢
meteor,020,,counter,
meteor,021,娠永鉱介,rough,岩永鉱介
meteor,022,赤道直元,rough,赤道直元
meteor,023,稲子芳信,bond,稲子芳信
meteor,024,,counter,
meteor,025,弥動知,special,弥勒知
meteor,026,雲野久斗,counter,雲野久斗
meteor,027,書野京平,justice,雀野京平
meteor,028,安倍晴昭,bond,安倍晴昭
meteor,029,辛田大吉,rough,幸田大吉
meteor,030,,bond,
meteor,031,天川光博,rough,天川光博
meteor,032,菅野周,counter,菅野周
meteor,033,,counter,
meteor,034,古坂蘭六,counter,古坂荘六
meteor,035,島山忠晴,counter,鳥山忠晴
meteor,036,野崎利洋,bond,野崎利洋
meteor,037,星読力ウカ,rough,星読カウカ
meteor,038,豊見山世津,justice,豊見山世津
meteor,039,天星悠起,special,天星悠真
meteor,040,夏焼雅,bond,夏焼雅
meteor,041,アラクネス,rough,アラクネス
meteor,042,,bond,
meteor,043,能井友理奈,bond,熊井友理奈
meteor,044,量山ヒロト,counter,基山ヒロト
meteor,045,属性賀疾風,counter,属性賀疾風
meteor,046,真許健人,bond,真庭健人
meteor,047,委川源太,rough,森川源太
meteor,048,一筆早徒,bond,一筆早徒
meteor,049,山音実里,bond,山音実里
meteor,050,,special,
meteor,051,,counter,
meteor,052,,special,
meteor,053,阿藤嵐,counter,阿藤嵐
meteor,054,,tension,
meteor,055,判目ゴ人,tension,判目才人
meteor,056,山部師臣,tension,山部師臣
meteor,057,雷同アカリ,bond,雷同アカリ
meteor,058,三徴志大哉,rough,三彼志大哉
meteor,059,軌室衛里世,special,軌堂衛里世
meteor,060,八田跳介,special,八田跳介
meteor,061,又野猫美,rough,又野猫美
meteor,062,鹿知央介,special,鹿知央介
meteor,063,椎崎由自,justice,槍崎由自
meteor,064,駆乗活量,tension,駆乗活基
meteor,065,内成海児,justice,内成海児
meteor,066,ワン・モンモン,counter,ワン・モンモン
meteor,067,水島花記,counter,糸島花彦
meteor,068,,counter,
meteor,069,イ・ジンソン,bond,イ・ジンソン
meteor,070,,tension,
meteor,071,能称ねねみ,rough,熊森ねねみ
meteor,072,伊賀島仙一,special,伊賀島仙一
meteor,073,,justice,
meteor,074,忠道風足,justice,忠道風貴
misanga,001,吉備津頼児,tension,吉備津頼児
misanga,002,支六美月,justice,支倉美月
misanga,003,乙女乃スビカ,tension,乙女乃スピカ
misanga,004,凄井アダリ,justice,凄井アタリ
misanga,005,可峰岬,tension,喜峰岬
misanga,006,秋山海里,rough,秋山海里
misanga,007,愛須英流沙,justice,愛須英流沙
misanga,008,五十部絵里花,counter,五十部絵里花
misanga,009,御記玲華,special,御堂玲華
misanga,010,館野奨,counter,館野舞
misanga,011,梅田陽海,counter,梅田陽海
misanga,012,田辺さやか,justice,田辺さやか
misanga,013,昌欧悠人,justice,白菊悠人
misanga,014,沢田千早花,special,沢田千早花
misanga,015,見野百人台香,rough,見野百合香
misanga,016,,justice,
misanga,017,古都細,rough,古都紬
misanga,018,ジセヤツロロ・トバーツィイオ,bond,ジャッロ・トパーツィオ
misanga,019,堂坦時沙,rough,堂垣時沙
misanga,020,ジャセン・ギユタン,rough,ジャン・ギュタン
misanga,021,ジュリアン・ルソー,rough,ジュリアン・ルソー
misanga,022,吹華,bond,魚吹華
misanga,023,朝長郁海,justice,朝長郁海
misanga,024,舞姫華夜,bond,舞姫華夜
misanga,025,弟坂有加里,bond,鵜坂有加里
misanga,026,小流古リオ,tension,小流古リオ
misanga,027,連環狐子,counter,連環貂子
misanga,028,石手実奈美,special,石手実奈美
misanga,029,,tension,
misanga,030,ギュエール,counter,ギュエール
misanga,031,坦添涼奈,justice,垣添涼奈
misanga,032,早包ビアンカ,special,革包ビアンカ
misanga,033,机井罰朝,tension,籾井智朝
misanga,034,佐男利アン,special,佐曽利アン
misanga,035,戸津府超子,counter,戸津府超子
misanga,036,尾辺良歌子,bond,尾辺良歌子
misanga,037,隠辺秋臣,rough,隠辺秋芭
misanga,038,師多ホルテ,tension,触多ポルテ
misanga,039,東海林タダケル,bond,東海林タケル
misanga,040,林野不二子,rough,林野不二子
misanga,041,,special,
misanga,042,星降香宮夜,bond,星降香宮夜
misanga,043,雛金輔,counter,雛乃金輔
misanga,044,大徳チュール,bond,大徳チュール
misanga,045,斉矢琉可愛,rough,着矢琉可愛
misanga,046,大飼叱子,bond,犬飼咆子
misanga,047,露海琉美,special,露海琉美
misanga,048,大社蛇巳,rough,大社蛇巳
misanga,049,讃睡律世,counter,讃瞳律世
misanga,050,椎名沙亜耶,tension,椎名沙亜耶
misanga,051,白二姫子,bond,白雪姫子
misanga,052,色槻加凌,rough,色槻加羅
misanga,053,長田銀杏,justice,長田銀杏
misanga,054,三都美美花,special,三都美美花
misanga,055,五水有柄,bond,五水有栖
misanga,056,笛水妨,counter,笛水忍
misanga,057,門脇瑞菜,bond,門脇瑞菜
misanga,058,奈諏ころん,justice,奈諏ころん
misanga,059,宇佐美ツ実,tension,宇佐美ツ実
misanga,060,炊羽りほはん,special,麩羽りぼん
misanga,061,物部里胡,rough,物部黒胡
misanga,062,,bond,
misanga,063,己兎ナコ,counter,弓兎ナコ
misanga,064,束桐おこじよ,bond,霜桐おこじょ
misanga,065,歩須風澄,bond,歩須風澄
misanga,066,原野愛,counter,原野愛
misanga,067,束桐みとん,tension,霜桐みとん
misanga,068,ベータダ,tension,ベータ
misanga,069,半橋レイン,rough,虹橋レイン
misanga,070,景災寺夕香,special,豪炎寺夕香
misanga,071,シ八・ヌイイ,bond,シパ・ヌイイ
misanga,072,香坂幸恵,counter,香坂幸恵
misanga,073,マイ,tension,マイ
misanga,074,チエル,special,チェル
misanga,075,ローコ,special,ローコ
misanga,076,夜須天正,tension,夜須天慧
misanga,077,モリー,special,モリー
misanga,078,仏野粉乃,justice,仏野粉乃
misanga,079,仲見世茶代,rough,仲見世茶代
misanga,080,丹勢谷款次,bond,丹勢谷宗次
misanga,081,セルジュ・ノワール,bond,セルジュ・ノワール
misanga,082,雨道末理科,justice,雨道未理科
misanga,083,多聞花軍,bond,多聞花蓮
misanga,084,梅雨咲多恵,tension,-
misanga,085,井馬里陽愛,tension,井馬里陽愛
misanga,086,,counter,
misanga,087,御理美瀬恋,tension,御香美瀬恋
misanga,088,妃睡深夜奈,bond,妃睡深夜奈
misanga,089,姉ケ崎聖子,rough,姉ヶ崎聖子
misanga,090,清見津千稚,counter,清見津千鶴
misanga,091,天楽天未,tension,天条天未
misanga,092,紫乃宮笠音,counter,紫乃宮笠音
misanga,093,,counter,
misanga,094,文芸葉月,rough,文芸葉月
misanga,095,紫乃宮笠音,counter,紫乃宮笠音
misanga,096,エリザ・マノン,justice,エリザ・マノン
misanga,097,明曹芽衣奈,special,明童芽衣奈
misanga,098,狼部商子,counter,狩部蘭子
misanga,099,観月路子,special,観月路子
oden,001,生地釜奴,bond,生地釜雄
oden,002,ゲイリー・リンクス,special,ゲイリー・リンクス
oden,003,思山保,counter,虻山保
oden,004,伊香保典,rough,伊香保典
oden,005,若鍵玲南,justice,若鍵玲南
oden,006,平田兼,justice,平田兼
oden,007,新竹悪大,tension,新竹颯太
oden,008,山根羊,justice,山根羊
oden,009,米山植人,special,米山植人
oden,010,野衣一,counter,雅野麗一
oden,011,牛尾空也,tension,牛尾空也
oden,012,武雑渡牙,rough,武羅渡牙
oden,013,根津光夫,bond,根津光夫
oden,014,厚田直,tension,厚田直
oden,015,三河屋三郎,justice,三河屋三郎
oden,016,日引十兵衛,special,臼引十兵衛
oden,017,黒川下夜,tension,黒川真夜
oden,018,長崎紀一,tension,長崎紀一
oden,019,亜認栄,special,亜鉛栄
oden,020,野沢公顕,tension,野沢公顕
oden,021,寿老仁,rough,寿老仁
oden,022,弥生比奈太,counter,弥生比奈太
oden,023,天山吉行,special,天山吉行
oden,024,静岡久志,rough,静岡久志
oden,025,黄金丸奴,rough,黄金丸雄
oden,026,与木奏,rough,与木奏
oden,027,鋼山海人,rough,鍋山海人
