星座,No,名前,メインビルドタイプ
とっくんノート座,34,文月 育緒,ラフプレー
とっくんノート座,35,久遠 冬花,カウンター
とっくんノート座,36,目深 宗司,正義
とっくんノート座,37,守久 要,ラフプレー
とっくんノート座,38,鳩山 永人,カウンター
とっくんノート座,39,貼野 哲郎,ラフプレー
とっくんノート座,40,北垣 亮太,ラフプレー
とっくんノート座,41,筆山 トメ,必殺
とっくんノート座,42,光宗 団,ラフプレー
とっくんノート座,43,百地 三太,キズナ
とっくんノート座,44,荒井川 熊巳,正義
とっくんノート座,45,影野 仁,正義
とっくんノート座,46,杉森 威,カウンター
とっくんノート座,47,万丈 一道,正義
とっくんノート座,48,高坂 仁,正義
とっくんノート座,49,段堂 正憲,テンション
とっくんノート座,50,瀬島 樹,テンション
とっくんノート座,51,蝶 野 真宇,キズナ
とっくんノート座,52,綿矢 針次,正義
とっくんノート座,53,吹越 一徳,必殺
とっくんノート座,54,院野 翔太,ラフプレー
とっくんノート座,55,森越 易之,キズナ
とっくんノート座,56,福見 観邑,必殺
とっくんノート座,57,ハルファン・ジブリール,ラフプレー
とっくんノート座,58,バーグレ・アントニオ,カウンター
とっくんノート座,59,伊矢部 敏志,キズナ
とっくんノート座,60,前鳥 信太郎,カウンター
とっくんノート座,61,典河 論也,正義
とっくんノート座,62,雷轟 キリカ,キズナ
とっくんノート座,63,ハムス,カウンター
とっくんノート座,64,監獄 岩家,ラフプレー
とっくんノート座,65,杵月 待路,カウンター
とっくんノート座,66,ベリー・カーペンター,ラフプレー
とっくんノート座,67,ウッズ,正義
とっくんノート座,68,雷轟 ロクロ,ラフプレー
とっくんノート座,69,旋 巻也,正義
とっくんノート座,70,藻宮 解,キズナ
とっくんノート座,71,手水 研二,必殺
とっくんノート座,72,野辺沢 領汰,カウンター
とっくんノート座,73,ファン・ウミャン,キズナ
とっくんノート座,74,スパイダー,必殺
とっくんノート座,75,加治間 水蓮,正義
とっくんノート座,76,親泊 永星,テンション
とっくんノート座,77,鉄山 啓作,キズナ
とっくんノート座,78,福島 初志,ラフプレー
とっくんノート座,79,陽炎 千晶,必殺
とっくんノート座,80,有海 直央,ラフプレー
とっくんノート座,81,石井 清気,キズナ
とっくんノート座,82,巨島 祐一,テンション
とっくんノート座,83,城戸 弥門,キズナ
とっくんノート座,84,弘山 誘,必殺
とっくんノート座,85,兵藤 雄平,正義
とっくんノート座,86,稲田 則,ラフプレー
とっくんノート座,87,鉈 十三,ラフプレー
とっくんノート座,88,芹沢 和憲,正義
とっくんノート座,89,阿保露 光,正義
とっくんノート座,90,高杉 晋太郎,キズナ
とっくんノート座,91,姫島 極,正義
とっくんノート座,92,加賀 裕太,テンション
とっくんノート座,93,伯林 独,正義
とっくんノート座,94,雪舟 水墨,ラフプレー
とっくんノート座,95,中尾 祇晶,テンション
とっくんノート座,96,コ・ソンファン,正義
とっくんノート座,97,中登 邦三,必殺
とっくんノート座,98,パピヨン,キズナ
とっくんノート座,99,佐喜 幸夫,ラフプレー
とっくんノート座,100,雷豪 光斗,必殺
とっくんノート座,101,中崎 庸,キズナ
とっくんノート座,102,弾打 推進,必殺
とっくんノート座,103,雷轟 レンカ,キズナ
とっくんノート座,104,久遠 冬花,カウンター
とっくんノート座,105,宝禄 礼無,キズナ
とっくんノート座,106,矢嶋 陽介,必殺
とっくんノート座,107,マッチョス,テンション
とっくんノート座,108,権田 岩子,キズナ
とっくんノート座,109,藤木 立彦,正義
とっくんノート座,110,皆機戸 富威,必殺
とっくんノート座,111,蒲石 常興,ラフプレー
とっくんノート座,112,ジョニー・ガスコイン,テンション
とっくんノート座,113,ラッジ・パアラ,ラフプレー
とっくんノート座,114,谷之浦 和彦,必殺
とっくんノート座,115,桂 菊生,ラフプレー
とっくんノート座,116,古川 友,ラフプレー
とっくんノート座,117,曹操 孟,必殺
とっくんノート座,118,末野 紅,ラフプレー
とっくんノート座,119,紫電 戒,キズナ
とっくんノート座,120,手魚 激,キズナ
とっくんノート座,121,向山 恭吾,正義
とっくんノート座,122,犬飼 茂樹,キズナ
とっくんノート座,123,三途 渡,正義
とっくんノート座,124,真下 乏,テンション
とっくんノート座,125,柳田 しげる,キズナ
とっくんノート座,126,水淵 無,正義
とっくんノート座,127,黒野 時夫,必殺
とっくんノート座,128,福井 咲平,テンション
とっくんノート座,129,堤 広司,必殺
とっくんノート座,130,土方 歳,正義
とっくんノート座,131,裁原 正義,必殺
とっくんノート座,132,勝又 一輝,必殺
とっくんノート座,133,沖縄 清志,ラフプレー
とっくんノート座,134,羅本 昭二,必殺
とっくんノート座,135,世田 妙美,正義
とっくんノート座,136,トルステン・ベルガー,カウンター
とっくんノート座,137,エルナン・テベス,ラフプレー
とっくんノート座,138,藤田 純友,ラフプレー
とっくんノート座,139,邦口 左近,必殺
とっくんノート座,140,楓野 小道,カウンター
とっくんノート座,141,ストロウ,必殺
とっくんノート座,142,軽部 目貞,ラフプレー
とっくんノート座,143,神永 アイ,テンション
とっくんノート座,144,氏木 神酒丸,テンション
とっくんノート座,145,オードリー・コーエン,テンション
とっくんノート座,146,麻竺 ジャン,テンション
とっくんノート座,147,大水 群二洋,カウンター
とっくんノート座,148,朽田 紅十郎,必殺
とっくんノート座,149,山本 勘太,カウンター
とっくんノート座,150,アスカ・ドモン,テンション
とっくんノート座,151,ハインリヒ・フリッツ,正義
とっくんノート座,152,鹿毛姫 呪理,カウンター
とっくんノート座,153,美球 丈雄,テンション
とっくんノート座,154,山内 兼久,カウンター
とっくんノート座,155,建森 解,テンション
とっくんノート座,156,神野 啓司,ラフプレー
とっくんノート座,157,矢地 伊久夫,キズナ
とっくんノート座,158,石崎 満,テンション
とっくんノート座,159,富士 地洋,ラフプレー
とっくんノート座,160,宗像 大翔,正義
とっくんノート座,161,声模 索太,カウンター
とっくんノート座,162,魚住 拓人,キズナ
まなびや座,1,梵天 哲士,必殺
まなびや座,2,氷上 烈斗,テンション
まなびや座,3,門間 省吾,ラフプレー
まなびや座,4,セルヒオ・ペレス,必殺
まなびや座,5,敦賀 望,ラフプレー
まなびや座,6,国木田 俳人,カウンター
まなびや座,7,立野 誠一,テンション
まなびや座,8,衛士 展也,正義
まなびや座,9,鉢屋 也三郎,キズナ
まなびや座,10,線路 鉄雄,ラフプレー
まなびや座,11,木内 努,必殺
まなびや座,12,八墓 祟,カウンター
まなびや座,13,黒上 呪,キズナ
まなびや座,14,東 昇,正義
まなびや座,15,伊能 忠,キズナ
まなびや座,16,津曲 勉,ラフプレー
まなびや座,17,横浜 英二,キズナ
まなびや座,18,明智 光,カウンター
まなびや座,19,間宮 林三,キズナ
まなびや座,20,金沢 努,必殺
まなびや座,21,床尾 宗次,ラフプレー
まなびや座,22,二宮 金次,カウンター
まなびや座,23,畳田 和夫,必殺
まなびや座,24,宮崎 太陽,カウンター
まなびや座,25,由馬 グレイ,カウンター
まなびや座,26,長門 司,テンション
まなびや座,27,派鶴 解斗,ラフプレー
まなびや座,28,菊丸 一休,キズナ
まなびや座,29,上杉 謙吾,ラフプレー
まなびや座,30,川崎 大志郎,テンション
まなびや座,31,安功 守之,カウンター
まなびや座,32,辰己 検,カウンター
まなびや座,33,文殊 紀一,必殺
まなびや座,34,杉山 敬次郎,ラフプレー
まなびや座,35,榊原 努,テンション
まなびや座,36,化野 実,必殺
まなびや座,37,仲泉 遊,必殺
まなびや座,38,小林 操,ラフプレー
まなびや座,39,生田 字郎,正義
まなびや座,40,栄田 養士,カウンター
まなびや座,41,姫宮 雅美,テンション
まなびや座,42,島根 神,正義
まなびや座,43,茨城 渉,テンション
まなびや座,44,訳嶋 英樹,必殺
まなびや座,45,古式 博嗣,正義
まなびや座,46,名鏡 拓夢,キズナ
まなびや座,47,古屋 延,カウンター
まなびや座,48,定岡 堅,テンション
まなびや座,49,石原 高史,ラフプレー
まなびや座,50,大江戸 結,必殺
まなびや座,51,京都 倭一,正義
まなびや座,52,小池 暦,必殺
まなびや座,53,筑紫 国光,テンション
まなびや座,54,外山 大樹,必殺
まなびや座,55,学舎 一筋,カウンター
まなびや座,56,五重 学,カウンター
まなびや座,57,五稜 武揚,必殺
まなびや座,58,上条 時生,テンション
まなびや座,59,雪野 星也,テンション
まなびや座,60,西谷 研二,テンション
まなびや座,61,中館 ヒロ,キズナ
まなびや座,62,浅水 祥次,必殺
まなびや座,63,喜屋武 梨花,カウンター
まなびや座,64,赤渕 敬次郎,テンション
まなびや座,65,奥泉 平,テンション
まなびや座,66,須和 文章,カウンター
まなびや座,67,大月 修作,キズナ
まなびや座,68,祖母井 博実,キズナ
まなびや座,69,正津 弘也,カウンター
まなびや座,70,石毛 良仁,必殺
まなびや座,71,中里 貴,テンション
まなびや座,72,持丸 光四郎,正義
まなびや座,73,門岡 秀悟,テンション
まなびや座,74,河高 敬作,テンション
まなびや座,75,臼木 由香里,ラフプレー
まなびや座,76,輪島 俊則,必殺
まなびや座,77,古市 猛斗,必殺
まなびや座,78,谷木 圭介,ラフプレー
まなびや座,79,貝塚 桂次,ラフプレー
まなびや座,80,飯谷 泰司,テンション
まなびや座,81,益川 弥瑞生,カウンター
まなびや座,82,佐竹 正二,カウンター
まなびや座,83,足立 悦雄,テンション
まなびや座,84,クラーク・ケイン,ラフプレー
まなびや座,85,蓮台 文宗,必殺
まなびや座,86,ペーター・ニムケ,カウンター
まなびや座,87,グラーシャ,キズナ
まなびや座,88,ミケル・ペレイロ,キズナ
まなびや座,89,ルーカ・シュミット,必殺
まなびや座,90,アンドレ・パンゾ,カウンター
まなびや座,91,ケラルド・ナバル,必殺
まなびや座,92,スライ・スライマーン,カウンター
まなびや座,93,デービッド・バッキンガム,カウンター
まなびや座,94,菱 拓夢,必殺
まなびや座,95,小御門 結理,テンション
まなびや座,96,曹 孟徳,カウンター
まなびや座,97,細石 京介,ラフプレー
まなびや座,98,荘田 子休,必殺
まなびや座,99,安富 文章,カウンター
まなびや座,100,造船 郁海,正義
まなびや座,101,諸丘 孔明,必殺
まなびや座,102,銀杯 尚央,正義
まなびや座,103,安宅 樹希,ラフプレー
まなびや座,104,識名 波門,正義
まなびや座,105,天穂 康沖,必殺
まなびや座,106,塩釜 勇造,必殺
まなびや座,107,志賀海 邦花,ラフプレー
まなびや座,108,宇倍 寛明,正義
まなびや座,109,大覚 夜市,ラフプレー
まなびや座,110,丸目 礼紘,必殺
まなびや座,111,須佐 史杏,カウンター
まなびや座,112,法師 三蔵,テンション
まなびや座,113,海図 導,カウンター
まなびや座,114,論具 船和,キズナ
まなびや座,115,須磨 力之介,正義
まなびや座,116,水瓶 佐多流,ラフプレー
まなびや座,117,五色 潤,カウンター
まなびや座,118,宇喜多 邦陽,ラフプレー
まなびや座,119,王鹿 角,カウンター
まなびや座,120,河宮 幸多,カウンター
まなびや座,121,折尾 三保志,ラフプレー
まなびや座,122,宇美岸 燕太郎,ラフプレー
まなびや座,123,本多 大蔵,キズナ
まなびや座,124,江府 一,正義
まなびや座,125,青山 俊介,テンション
まなびや座,126,樹田 木蓮,キズナ
まなびや座,127,芦矢 昇,テンション
まなびや座,128,茅原 恵智,カウンター
まなびや座,129,分流 陰陽,必殺
まなびや座,130,久雲 仁太,キズナ
まなびや座,131,四乃又 晴海,カウンター
まなびや座,132,波玖 佳一,テンション
まなびや座,133,阿笘 勇夫,カウンター
まなびや座,134,砂嶺 高兵,正義
まなびや座,135,台家 敏男,必殺
まなびや座,136,前島 衛子,キズナ
まなびや座,137,鶴坂 成隆,必殺
まなびや座,138,原洞 受信,必殺
まなびや座,139,犬火 久仁津,ラフプレー
まなびや座,140,科額 修,テンション
まなびや座,141,千斗 瑠偉,ラフプレー
まなびや座,142,小河波 一茶,必殺
まなびや座,143,質上 蒼,カウンター
まなびや座,144,磯切 着十,キズナ
まなびや座,145,魅良 純,キズナ
まなびや座,146,黒戸 今日子,テンション
まなびや座,147,正村 宗江,必殺
まなびや座,148,ミスタ,正義
まなびや座,149,良家 過胡,正義
まなびや座,150,山目 幸雄,キズナ
まなびや座,151,ライナ・ホウ,キズナ
まなびや座,152,元部鳴 カコ,カウンター
まなびや座,153,堀鱈 寿亭無,カウンター
まなびや座,154,エリック・エンドルフィン,ラフプレー
まなびや座,155,ナージェ,必殺
まなびや座,156,メイア,正義
まなびや座,157,ギリス,テンション
まなびや座,158,六呂田 常世,カウンター
まなびや座,159,乃々森 絵麻,正義
まなびや座,160,証条 閃果,必殺
まなびや座,161,等田 率未,ラフプレー
ゆうじょう座,1,安芸 玲須,キズナ
ゆうじょう座,2,水森 竜也,キズナ
ゆうじょう座,3,カズヤ・イチノセ,テンション
ゆうじょう座,4,雷轟 ボルト,キズナ
ゆうじょう座,5,雷轟 ラウド,キズナ
ゆうじょう座,6,伊賀 栗之助,キズナ
ゆうじょう座,7,毛利 元気,キズナ
ゆうじょう座,8,黄田 嵐,キズナ
ゆうじょう座,9,前田 剛,キズナ
ゆうじょう座,10,執刀 直,キズナ
ゆうじょう座,11,藤丸 啓,キズナ
ゆうじょう座,12,炭野 詠輔,キズナ
ゆうじょう座,13,写楽 庄司,キズナ
ゆうじょう座,14,秋水 貴之,キズナ
ゆうじょう座,15,布村 触,キズナ
ゆうじょう座,16,袋崎 拓路,キズナ
ゆうじょう座,17,遠山 金太,キズナ
ゆうじょう座,18,森 石松,キズナ
ゆうじょう座,19,藤原 道長,キズナ
ゆうじょう座,20,卓野 球太,キズナ
ゆうじょう座,21,百舌 晶人,キズナ
ゆうじょう座,22,大井川 剛,キズナ
ゆうじょう座,23,毘沙門 海里,キズナ
ゆうじょう座,24,刑部 楠生,キズナ
ゆうじょう座,25,樋川 幹太,キズナ
ゆうじょう座,26,青葉 清吾,キズナ
ゆうじょう座,27,葱野 刻,キズナ
ゆうじょう座,28,織田 信央,キズナ
ゆうじょう座,29,手出 作郎,キズナ
ゆうじょう座,30,大石 良雄,キズナ
ゆうじょう座,31,清原 光良,キズナ
ゆうじょう座,32,子鹿 森也,キズナ
ゆうじょう座,33,荒川 浩正,キズナ
ゆうじょう座,34,今川 義基,キズナ
ゆうじょう座,35,土門 飛鳥,テンション
ゆうじょう座,36,岡山 太朗,キズナ
ゆうじょう座,37,帆市 輝明,キズナ
ゆうじょう座,38,一之瀬 一哉,キズナ
ゆうじょう座,39,騎藤 瞬士,キズナ
ゆうじょう座,40,橘 フミヤ,キズナ
ゆうじょう座,41,松林 躍,キズナ
ゆうじょう座,42,羽縞 勇太,キズナ
ゆうじょう座,43,飯田 公一,キズナ
ゆうじょう座,44,天王寺 万里,キズナ
ゆうじょう座,45,矢吹 為男,キズナ
ゆうじょう座,46,堀江 文一,キズナ
ゆうじょう座,47,村上 栄里子,キズナ
ゆうじょう座,48,深村 慎太郎,キズナ
ゆうじょう座,49,阿部島 格郎,キズナ
ゆうじょう座,50,青木 将海,キズナ
ゆうじょう座,51,日根 次郎,キズナ
ゆうじょう座,52,丸山 里咲,キズナ
ゆうじょう座,53,正岡 利春,キズナ
ゆうじょう座,54,多村 志奈美,キズナ
ゆうじょう座,55,亀石 久朋,キズナ
ゆうじょう座,56,亀野 幻児,キズナ
ゆうじょう座,57,ムサ・サイラー,キズナ
ゆうじょう座,58,ホリー・サマーズ,キズナ
ゆうじょう座,59,フィディオ・アルデナ,テンション
ゆうじょう座,60,プレザ,キズナ
ゆうじょう座,61,綺羅光 門彦,キズナ
ゆうじょう座,62,ジニス・ジンキンス,キズナ
ゆうじょう座,63,ジェイク・ファナ,キズナ
ゆうじょう座,64,アバリ・マリンガ,キズナ
ゆうじょう座,65,マッコール・キサッラ,キズナ
ゆうじょう座,66,スコーピオ,キズナ
ゆうじょう座,67,ラウデリーノ・サストレ,キズナ
ゆうじょう座,68,仮面 即,キズナ
ゆうじょう座,69,ウルソ・ノゲイラ,キズナ
ゆうじょう座,70,浅利 大樹郎,キズナ
ゆうじょう座,71,刺枝 雪将,キズナ
ゆうじょう座,72,麻美 伊衣子,キズナ
ゆうじょう座,73,乱闘 争,キズナ
ゆうじょう座,74,正義 真実,キズナ
ゆうじょう座,75,枢布 レックス,キズナ
ゆうじょう座,76,知能 測,キズナ
ゆうじょう座,77,竹中 半蔵,キズナ
ゆうじょう座,78,射月 冬馬,キズナ
ゆうじょう座,79,知多 剛,キズナ
ゆうじょう座,80,極見 誠真,キズナ
ゆうじょう座,81,草壁 才介,キズナ
ゆうじょう座,82,武闘 拳,キズナ
ゆうじょう座,83,貴崎 勇二,キズナ
ゆうじょう座,84,大木 玉則,キズナ
ゆうじょう座,85,滝 快彦,キズナ
ゆうじょう座,86,呉井 雄大,キズナ
ゆうじょう座,87,瀬嶺 数豊,キズナ
ゆうじょう座,88,穂積 信平,キズナ
ゆうじょう座,89,銀座宮 章,キズナ
ゆうじょう座,90,梅尾 鈴人,キズナ
ゆうじょう座,91,元乃 剛,キズナ
ゆうじょう座,92,令鳴 司道,キズナ
ゆうじょう座,93,冷風 結子,キズナ
ゆうじょう座,94,阿里 恵多,キズナ
ゆうじょう座,95,子安田 黒丸,キズナ
ゆうじょう座,96,会唐 盗彦,キズナ
ゆうじょう座,97,釜田 熱至,キズナ
ゆうじょう座,98,室居 秀和,キズナ
ゆうじょう座,99,原田 定蔭,キズナ
ゆうじょう座,100,台風坂 巻雄,キズナ
ゆうじょう座,101,立嶋 縦透,キズナ
ゆうじょう座,102,鉄塚 面次郎,キズナ
ゆうじょう座,103,張館 緊汐,キズナ
ゆうじょう座,104,神代 美夕,キズナ
ゆうじょう座,105,繰夢 赤頭巾,キズナ
ゆうじょう座,106,雷轟 リンカ,キズナ
ゆうじょう座,107,猛火 盛燃,キズナ
ゆうじょう座,108,辺亜 修瑠,キズナ
ゆうじょう座,109,空高 もも,キズナ
ゆうじょう座,110,横島 みゅう,キズナ
ゆうじょう座,111,高琴 歪留,キズナ
ゆうじょう座,112,蛇神 文号,キズナ
ゆうじょう座,113,布部 天功,キズナ
ゆうじょう座,114,溶永 豪岩,キズナ
ゆうじょう座,115,マント,キズナ
ゆうじょう座,116,弁財 天心,キズナ
ゆうじょう座,117,伊野 八太郎,キズナ
ゆうじょう座,118,木見丈 藍須,キズナ
ゆうじょう座,119,連山 濱人,キズナ
ゆうじょう座,120,鉄野 ケルビン,キズナ
ゆうじょう座,121,青野 浩二,キズナ
ゆうじょう座,122,ハザード・レード,キズナ
ゆうじょう座,123,ペコ,キズナ
ゆうじょう座,124,西新 柚葉,キズナ
ゆうじょう座,125,佐波 未鈴,キズナ
ゆうじょう座,126,鳳仙 蘭香,キズナ
ゆうじょう座,127,須賀見 彩好凪,キズナ
ゆうじょう座,128,洗峰 清子,キズナ
ゆうじょう座,129,ドリサイト たかつじ,キズナ
ゆうじょう座,130,零栖 烈志,キズナ
ゆうじょう座,131,辺香手 冥花,キズナ
ゆうじょう座,132,ブチ,キズナ
ゆうじょう座,133,積盛 宇麻里,キズナ
ゆうじょう座,134,八嶋 仁一朗,キズナ
ゆうじょう座,135,北平 雨竜,キズナ
ゆうじょう座,136,朱鞠 ほろか,キズナ
ゆうじょう座,137,文影 チノ,キズナ
ゆうじょう座,138,デビット・ウォーターマン,キズナ
ゆうじょう座,139,光名寺 龍二,キズナ
ゆうじょう座,140,墨道 達哉,キズナ
ゆうじょう座,141,宍戸 佐吉,キズナ
ゆうじょう座,142,摩周 一心,キズナ
ゆうじょう座,143,有沢 恋音,キズナ
ゆうじょう座,144,林 由哉,キズナ
ゆうじょう座,145,永島 寿明,キズナ
ゆうじょう座,146,藤野 鎌足,キズナ
ゆうじょう座,147,陽沢 光留,キズナ
ゆうじょう座,148,雑道 旋,キズナ
ゆうじょう座,149,風庵寺 三駈郎,キズナ
らーめん座,1,出前 洋,テンション
らーめん座,2,響木 正剛,ラフプレー
らーめん座,3,浜野 海士,キズナ
らーめん座,4,アイエル,キズナ
らーめん座,5,獅子丸,必殺
らーめん座,6,会田 力,キズナ
らーめん座,7,兜 角雄,正義
らーめん座,8,響木 正剛,必殺
らーめん座,9,野馬 運,キズナ
らーめん座,10,大玉 好美,カウンター
らーめん座,11,出浦 清盛,テンション
らーめん座,12,育井 庄児,必殺
らーめん座,13,平生 仁,必殺
らーめん座,14,赤川 翼,キズナ
らーめん座,15,楠木 昌成,正義
らーめん座,16,地蔵 久夢,カウンター
らーめん座,17,近辺 十馬,テンション
らーめん座,18,国定 忠次郎,正義
らーめん座,19,仏 良夫,キズナ
らーめん座,20,相原 談,カウンター
らーめん座,21,小椋 晋也,必殺
らーめん座,22,関羽 長人,カウンター
らーめん座,23,飛田 玲二,キズナ
らーめん座,24,印旛 鑑次,テンション
らーめん座,25,雪山 岳治,キズナ
らーめん座,26,窪田 護,カウンター
らーめん座,27,革嶋 磨,カウンター
らーめん座,28,香川 明央,正義
らーめん座,29,寺本 豊,ラフプレー
らーめん座,30,韓信 潜,正義
らーめん座,31,北条 新九郎,キズナ
らーめん座,32,岩佐 洋介,カウンター
らーめん座,33,北海 道伸,必殺
らーめん座,34,孫吾 乱,正義
らーめん座,35,新見 主税,正義
らーめん座,36,市松 竜也,テンション
らーめん座,37,大岡 善,ラフプレー
らーめん座,38,新川 夏姫,キズナ
らーめん座,39,守谷 稔,必殺
らーめん座,40,長浜 細道,ラフプレー
らーめん座,41,綱海 条介,正義
らーめん座,42,垣田 大将,キズナ
らーめん座,43,祭利田 我暑衣,カウンター
らーめん座,44,粉川 悦,キズナ
らーめん座,45,細径 塁,テンション
らーめん座,46,浜夏 天衣,ラフプレー
らーめん座,47,荒場 憲章,ラフプレー
らーめん座,48,安刻 真男,テンション
らーめん座,49,好 桃妃,カウンター
らーめん座,50,飛鷹 征矢,必殺
らーめん座,51,猪苗代 阿子,テンション
らーめん座,52,助高 誉士,必殺
らーめん座,53,居 将左右衛門,正義
らーめん座,54,緑曲 安也,カウンター
らーめん座,55,蒼月 希観,必殺
らーめん座,56,古民 幸子,テンション
らーめん座,57,三国 太一,キズナ
らーめん座,58,真住 火朗志,必殺
らーめん座,59,長束 牧人,テンション
らーめん座,60,鎧守 騎,必殺
らーめん座,61,門脇 椎穂,正義
らーめん座,62,多民 集,カウンター
らーめん座,63,黒石 ペリオ,カウンター
らーめん座,64,黒石 パント,正義
らーめん座,65,張 飛,必殺
らーめん座,66,スマイル,キズナ
らーめん座,67,花林 杏子,キズナ
らーめん座,68,坂本 龍馬,正義
らーめん座,69,戸鉢 憲明,キズナ
らーめん座,70,手衣良 琉花,必殺
らーめん座,71,代々日 やえ,正義
らーめん座,72,姪浜 陽気,必殺
らーめん座,73,参募 コウキ,テンション
らーめん座,74,静河 和男,キズナ
らーめん座,75,古手打 七南,必殺
らーめん座,76,片見 桔梗,必殺
らーめん座,77,青田 春美,キズナ
らーめん座,78,楠里 歌万呂,キズナ
らーめん座,79,大東 領也,正義
らーめん座,80,湯元 月見,カウンター
らーめん座,81,モク,テンション
らーめん座,82,神橋 末造,正義
らーめん座,83,近藤 啓士,必殺
らーめん座,84,えーしん,正義
りゅうせい座,1,猿田 登,ラフプレー
りゅうせい座,2,勝喜 快翔,キズナ
りゅうせい座,3,ニクラス・カスター,必殺
りゅうせい座,4,速吹 烈風,キズナ
りゅうせい座,5,風乃 葉丹,テンション
りゅうせい座,6,槍野 育生,正義
りゅうせい座,7,団 土 弾,正義
りゅうせい座,8,速水 真刃,必殺
りゅうせい座,9,興津 蒼空,正義
りゅうせい座,10,加藤 段,カウンター
りゅうせい座,11,跳山 段,キズナ
りゅうせい座,12,猿飛 佐之助,ラフプレー
りゅうせい座,13,鎌井 達夫,必殺
りゅうせい座,14,霊幻 道久,テンション
りゅうせい座,15,鳴門 潮,必殺
りゅうせい座,16,源 義雄,ラフプレー
りゅうせい座,17,彦 牽牛,カウンター
りゅうせい座,18,占部 智人,テンション
りゅうせい座,19,彗星 槙矢,キズナ
りゅうせい座,20,星見 透馬,カウンター
りゅうせい座,21,岩永 鉱介,ラフプレー
りゅうせい座,22,赤道 直元,ラフプレー
りゅうせい座,23,稲子 芳信,キズナ
りゅうせい座,24,蛍原 鉄洋,カウンター
りゅうせい座,25,弥勒 知,必殺
りゅうせい座,26,雲野 久斗,カウンター
りゅうせい座,27,雀野 京平,正義
りゅうせい座,28,安倍 晴昭,キズナ
りゅうせい座,29,幸田 大吉,ラフプレー
りゅうせい座,30,夕霧 爽也,キズナ
りゅうせい座,31,天川 光博,ラフプレー
りゅうせい座,32,菅野 周,カウンター
りゅうせい座,33,影 田 巡,カウンター
りゅうせい座,34,古坂 荘六,カウンター
りゅうせい座,35,鳥山 忠晴,カウンター
りゅうせい座,36,野崎 利洋,キズナ
りゅうせい座,37,星読 カウカ,ラフプレー
りゅうせい座,38,豊見山 世津,正義
りゅうせい座,39,天星 悠真,必殺
りゅうせい座,40,夏焼 雅,キズナ
りゅうせい座,41,アラクネス,ラフプレー
りゅうせい座,42,須藤 茉麻,キズナ
りゅうせい座,43,熊井 友理奈,キズナ
りゅうせい座,44,基山 ヒロト,カウンター
りゅうせい座,45,属性賀 疾風,カウンター
りゅうせい座,46,真庭 健人,キズナ
りゅうせい座,47,森川 源太,ラフプレー
りゅうせい座,48,一筆 早徒,キズナ
りゅうせい座,49,山音 実里,キズナ
りゅうせい座,50,読矢 聡,必殺
りゅうせい座,51,銅 原 帝人,カウンター
りゅうせい座,52,飛豆 崇利,必殺
りゅうせい座,53,阿藤 嵐,カウンター
りゅうせい座,54,葦河 迅兵,テンション
りゅうせい座,55,判目 才人,テンション
りゅうせい座,56,山部 師臣,テンション
りゅうせい座,57,雷同 アカリ,キズナ
りゅうせい座,58,三彼志 大哉,ラフプレー
りゅうせい座,59,軌堂 衛里世,必殺
りゅうせい座,60,八田 跳介,必殺
りゅうせい座,61,又野 猫美,ラフプレー
りゅうせい座,62,鹿知 央介,必殺
りゅうせい座,63,槍崎 由自,正義
りゅうせい座,64,駆乗 活基,テンション
りゅうせい座,65,内成 海児,正義
りゅうせい座,66,ワン・モンモン,カウンター
りゅうせい座,67,糸島 花彦,カウンター
りゅうせい座,68,我道 毘沙丸,カウンター
りゅうせい座,69,イ・ジンソン,キズナ
りゅうせい座,70,遊馬 一紗,テンション
りゅうせい座,71,熊森 ねねみ,ラフプレー
りゅうせい座,72,伊賀島 仙一,必殺
りゅうせい座,73,御雷 迅矢,正義
りゅうせい座,74,忠道 風貴,正義
イナビカリ座,1,円谷 未知,必殺
イナビカリ座,2,枝木 早樹,必殺
イナビカリ座,3,緑川 リュウジ,キズナ
イナビカリ座,4,中岡 慎太郎,テンション
イナビカリ座,5,ベノム・ブラグ,テンション
イナビカリ座,6,碇 頑五郎,テンション
イナビカリ座,7,長谷部 精児,必殺
イナビカリ座,8,亜風炉 照美,必殺
イナビカリ座,9,霧隠 才次,必殺
イナビカリ座,10,西垣 守,カウンター
イナビカリ座,11,判 竹夫,必殺
イナビカリ座,12,不死 祀,テンション
イナビカリ座,13,松野 空介,テンション
イナビカリ座,14,聖徳 泰治,必殺
イナビカリ座,15,三国 賢士,テンション
イナビカリ座,16,明井 評吾,必殺
イナビカリ座,17,湧口 鉄馬,テンション
イナビカリ座,18,宇枝 歴人,テンション
イナビカリ座,19,河伯 童子,テンション
イナビカリ座,20,折田 造,必殺
イナビカリ座,21,合方 調,テンション
イナビカリ座,22,伊集院 満,必殺
イナビカリ座,23,虹野 克,テンション
イナビカリ座,24,蛸田 轟大,テンション
イナビカリ座,25,江幡 葉,必殺
イナビカリ座,26,上月 邦宏,テンション
イナビカリ座,27,鯨山 広,必殺
イナビカリ座,28,大根 成弥,必殺
イナビカリ座,29,阿久 鋭矢,テンション
イナビカリ座,30,針辻 大五郎,必殺
イナビカリ座,31,縄代 亮,テンション
イナビカリ座,32,オフ 斎藤,テンション
イナビカリ座,33,大場 充則,テンション
イナビカリ座,34,大高 光洋,テンション
イナビカリ座,35,梶原 朝夫,テンション
