星座,No,類似の名前,メインビルドタイプ
glasses,117,府丁伊月,counter
glasses,118,奈母レオン,bond
glasses,119,宮根時印,special
glasses,120,ディー・ジェイクマン,tension
glasses,121,稲富二ノ兵衛,special
glasses,122,群田球,rough
glasses,123,穂田望素,rough
glasses,124,東堂保架郎,tension
glasses,125,森聡,special
glasses,126,蜂矢百芽,bond
glasses,127,ウォーリー,bond
glasses,128,比古光留,rough
glasses,129,チビット,justice
glasses,130,デブーン,justice
glasses,131,ゾタン,special
glasses,132,ドリス,rough
glasses,133,フミータ,tension
glasses,134,アダム・センセージュ,tension
glasses,135,茶井茉莉,counter
glasses,136,安良垣泰無,special
glasses,137,塙主守留,bond
glasses,138,メグ・ホンダ,tension
glasses,139,リアナ・ムーンホース,justice
glasses,140,グゥミ,counter
glasses,141,角馬歩,special
glasses,142,加地閲人,tension
glasses,143,二四中常太,rough
glasses,144,知留逢斗,justice
glasses,145,伊勢谷要,special
glasses,146,赤城一斗,counter
glasses,147,丸目舞美,tension
glasses,148,万部長夢,counter
glasses,149,更井新太,rough
glasses,150,学舎電人,counter
glasses,151,聞土敢太,tension
glasses,152,及部正男,tension
glasses,153,幾重孫一,rough
glasses,154,及部正男,tension
glasses,155,杏羽陶冶,tension
glasses,156,金星やつる,counter
glasses,157,北野香里,justice
glasses,158,金星やつる,counter
glasses,159,月瓦玄作,tension
glasses,160,七種玲良,rough
glasses,161,七種玲良,rough
glasses,162,新渡戸伝造,bond
glasses,163,新渡戸伝造,bond
glasses,164,小野妹古,bond
glasses,165,北里岳三郎,special
glasses,166,与那国活次,special
glasses,167,与那国活次,special
glasses,168,新野亀吉,counter
glasses,169,新野亀吉,counter
glasses,170,影山零治,tension
glasses,171,計智数,tension
glasses,172,計智数,justice
glasses,173,計智数,justice
glasses,174,栄西教一,special
hand,1,宝来凪人,counter
hand,2,ロココ・ウルパ,counter
hand,3,影浦透司,counter
hand,4,六塔源蔵,bond
hand,5,山薫壮大,tension
hand,6,円堂守,justice
hand,7,塩谷ヒロ,counter
hand,8,部灰炎,counter
hand,9,金剛新,tension
hand,10,矢野球児,bond
hand,11,三宅力丸,bond
hand,12,勝海次,counter
hand,13,包木宏明,counter
hand,14,箸井邦明,counter
hand,15,奈々星典斗,special
hand,16,愛宕達平,counter
hand,17,大久史也,justice
hand,18,明星すばる,counter
hand,19,薬師寺健,special
hand,20,江田俊二,bond
hand,21,羅馬久輝,tension
hand,22,香堂調,bond
hand,23,岩沢碧海,counter
hand,24,宇佐美将也,tension
hand,25,街野開矢,bond
hand,26,段田正義,rough
hand,27,衣留花充昭,special
hand,28,鶴田時朗,justice
hand,29,群馬草彦,special
hand,30,錬山術,justice
hand,31,発田三郎,bond
hand,32,安川慎之介,rough
hand,33,布原ヒロ,rough
hand,34,山中圭,bond
hand,35,前田剛,counter
hand,36,唐拓郎,special
hand,37,南瓜敬作,rough
hand,38,浜崎克哉,counter
hand,39,谷村刀麻,tension
hand,40,藤波貴真,counter
hand,41,宮地弘也,special
hand,42,森林進,rough
hand,43,舞鶴浩正,justice
hand,44,大崎練,tension
hand,45,早津愛輝,special
hand,46,高間歩唯,bond
hand,47,吉竹英利,bond
hand,48,仁若芸知,rough
hand,49,宜保兼勝,bond
hand,50,会田力,special
hand,51,木田悠翔,special
hand,52,乗松響平,counter
hand,53,旅本明宏,rough
hand,54,古山真実,tension
hand,55,柴垣昌浩,counter
hand,56,清水忠志,bond
hand,57,名倉俊夫,special
hand,58,津田珠音,bond
hand,59,寺西富美子,special
hand,60,宇宙航,justice
hand,61,福川陽子,justice
hand,62,白山恭男,tension
hand,63,大上為男,special
hand,64,華吹宏作,rough
hand,65,白坂映,bond
hand,66,山田栄斗,tension
hand,67,宇野希望,special
hand,68,樋口厚治郎,special
hand,69,平岩竜太郎,special
hand,70,吉勝美,bond
hand,71,桂本健四郎,rough
hand,72,ナセル・ムスタファ,rough
hand,73,普久原野枝美,counter
hand,74,タラル・ハマド,justice
hand,75,チョウ・ミョンホ,tension
hand,76,フレディ・マックイーン,special
hand,77,ロココ・ウルパ,counter
hand,78,ギャレス・バレット,justice
hand,79,ディンゴ,special
hand,80,カバーロ・オリビエラ,counter
hand,81,フォクス,rough
hand,82,モンストロ,justice
hand,83,アントン・ガッツーゾ,tension
hand,84,ロゼオ・ディアマンテ,special
hand,85,ラモン・マルチネス,rough
hand,86,ゾラニ・バロイ,tension
hand,87,五所涼太,tension
hand,88,属性賀特殊,rough
hand,89,砂田サハラ,counter
hand,90,真鳥佳子,special
hand,91,赤切政辰,bond
hand,92,長等準次,special
hand,93,令官司,special
hand,94,樫尾星五,counter
hand,95,倉ノ院佐之助,special
hand,96,三波十次,special
hand,97,金成敦則,rough
hand,98,鉄雄田政志,bond
hand,99,狩屋マサキ,tension
hand,100,小坂元成,bond
hand,101,猿賀操馬,bond
hand,102,一之宮仁衣弥,counter
hand,103,黒船威造,justice
hand,104,井柳丈次,justice
hand,105,千宮路大和,counter
hand,106,安守地春,rough
hand,107,蛇野巻人,special
hand,108,鮎川瞬,tension
hand,109,小岩羊介,counter
hand,110,歌舞天寺矢駈,special
hand,111,道筋隈信,bond
hand,112,奪川剛辰,rough
hand,113,格根刃闘,counter
hand,114,亀山牟狭士,rough
hand,115,刺倉リン,rough
hand,116,吉根九蔵,rough
hand,117,美濃牟史,special
hand,118,連山濱人,tension
hand,119,真次仁志,bond
hand,120,須永穂摘,special
hand,121,地瀬留介,rough
hand,122,日比野清男,rough
hand,123,紫水晶,tension
hand,124,佐渡丹樟,counter
hand,125,四方山胴心,justice
hand,126,回原蹴助,special
hand,127,足黒芳一朗,counter
hand,128,高円寺習也,tension
hand,129,お菓子刑事,special
hand,130,特乃攻留,justice
hand,131,鞠水都,special
hand,132,目貫隻,bond
hand,133,猫曽木一生,counter
hand,134,ヤシャ,bond
hand,135,スティア,special
hand,136,ルード,rough
hand,137,ババース,rough
hand,138,比伊知美良,special
hand,139,ヒナノ・マウピ,special
hand,140,メアリ・ロビンソン,counter
hand,141,小濱千次郎,counter
hand,142,巻田数子,special
hand,143,真盛均多留,counter
hand,144,ケイン・ウィジェット,special
hand,145,鈴森サイヤ,justice
hand,146,カイオス・ダオ,counter
hand,147,門守只人,bond
hand,148,武党軍平,justice
hand,149,王乃貞行,rough
hand,150,大字稲花,counter
hand,151,薬院広也,special
hand,152,番大黒美,tension
hand,153,狭来来世,special
hand,154,白田万兵衛,justice
hand,155,隕石豪平,special
hand,156,柳核,counter
hand,157,田之村将星,justice
hand,158,猪狩鉄太,rough
hand,159,濁谷奈輝,counter
hand,160,堅道屋次郎,justice
hand,161,福沢導吉,rough
hand,162,諏佐野央児,counter
hand,163,太力雄岩史,rough
hand,164,小山田俊介,special
hand,165,江ノ口愛司郎,special
hand,166,小松田一仙,rough
hand,167,九条静子,bond
hand,168,円堂大介,justice
hand,169,荒矢大介,justice
judge,1,柳光男,justice
judge,2,屋形直人,justice
judge,3,九里山博士,justice
judge,4,ジル・ド・レ,justice
judge,5,久遠道也,justice
judge,6,富良野紫苑,justice
judge,7,月光満,justice
judge,8,定規頑,justice
judge,9,桑形刃,justice
judge,10,道場亮治,justice
judge,11,玄武冬樹,justice
judge,12,花岡強,justice
judge,13,大鯉昇,justice
judge,14,鷹桐凱,justice
judge,15,鴨川武一,justice
judge,16,大和進,justice
judge,17,塗壁保,justice
judge,18,大垣純章,justice
judge,19,山形信洋,justice
judge,20,細江茂志,justice
judge,21,波村豊,justice
judge,22,北雄石英,justice
judge,23,尾浦玲歩,justice
judge,24,札名聡,justice
judge,25,眠井俊郎,justice
judge,26,髪切徹也,justice
judge,27,飛龍仁,justice
judge,28,水原弘也,justice
judge,29,灰谷直,justice
judge,30,松岡晋也,justice
judge,31,草下元樹,justice
judge,32,藍染郁次,justice
judge,33,鴉山天,justice
judge,34,流衣洗,justice
judge,35,赤鯛誠史,justice
judge,36,坂下雅功,justice
judge,37,浦田聡,justice
judge,38,魚籠卓,justice
judge,39,須田揚,justice
judge,40,下円寸,justice
judge,41,若井哲平,justice
judge,42,渡辺映宏,justice
judge,43,堅山真,justice
judge,44,真爪雅彦,justice
judge,45,碇頑五郎,justice
judge,46,小川孝太郎,justice
judge,47,備流田光一,justice
judge,48,菅田厳,justice
judge,49,宝玉光,justice
judge,50,電受集,tension
judge,51,玄界波人,justice
judge,52,総本号,justice
judge,53,親富孝,justice
judge,54,矢木尚史,justice
judge,55,神部貴,justice
judge,56,尾威主人,justice
judge,57,星原月海,justice
judge,58,野口学人,justice
judge,59,浅野色葉,justice
judge,60,砂子律夫,justice
judge,61,丸尾愛葉,justice
judge,62,染宮月香,justice
judge,63,向井秀司,justice
judge,64,芳国政一,justice
judge,65,江波静恵,justice
judge,66,田口吉穂,justice
judge,67,桃河愛,justice
judge,68,粟生林檎,justice
judge,69,東条宰,justice
judge,70,ガビアル,justice
judge,71,ドラゴ・ヒル,justice
judge,72,ベルディオ・ズメラルド,justice
judge,73,バファロ,justice
judge,74,アデル・シディク,justice
judge,75,エッジ・リッパー,justice
judge,76,ジーン・ベイカー,justice
judge,77,マット・アングル,justice
judge,78,アントニオ・ガリウス,justice
judge,79,ロニー・ワイス,justice
judge,80,ナタル・ツォラ,justice
judge,81,神代裕詩朗,justice
judge,82,筒帽禿,justice
judge,83,属性賀組織,justice
judge,84,網場衣夜,justice
judge,85,柴木激斗,justice
judge,86,武登美清夫,justice
judge,87,老尾明宗,justice
judge,88,南沢篤志,justice
judge,89,宗佐住起,justice
judge,90,沖宮敬乃,justice
judge,91,伊奈波常刻,justice
judge,92,火流将丸,justice
judge,93,逆崎無限,justice
judge,94,凪沢渚,justice
judge,95,井伊谷茂惇,justice
judge,96,石岩次郎,rough
judge,97,取行麻也,justice
judge,98,大磯川太郎,justice
judge,99,路野進,justice
judge,100,笹山滝,justice
judge,101,和伊田圭,justice
judge,102,火北幸四郎,justice
judge,103,伊鈴勲,justice
judge,104,珊海瑚礁,justice
judge,105,大田原邦生,justice
judge,106,園日英智美,justice
judge,107,神村島,justice
judge,108,粟生仁太郎,justice
judge,109,風乃園清羅香,justice
judge,110,駒輔史,justice
judge,111,新東京,justice
judge,112,動山不美,justice
judge,113,兜坂テル,justice
judge,114,雷轟ガラゴ,justice
judge,115,キャプテンジェイ,justice
judge,116,成見転太,justice
judge,117,須久乱童,justice
judge,118,曹操,justice
judge,119,エスカ・バメル,rough
judge,120,曹操,justice
judge,121,新鮮太助,justice
judge,122,白木ポンタ,bond
judge,123,大鳥星矢,justice
judge,124,磊落護狼,justice
judge,125,比良平成,justice
judge,126,ジーニー,justice
judge,127,ガウラ,justice
judge,128,ラウ・セム,justice
judge,129,ハンニス,justice
judge,130,ニー・ベル,justice
judge,131,バド・アッド,justice
judge,132,ジラフ,justice
judge,133,真武居剛人,bond
judge,134,マドル,justice
judge,135,音無春奈,justice
judge,136,近藤勇,counter
judge,137,サリュー・エヴァン,special
judge,138,円堂守,justice
judge,139,カズチ,bond
judge,140,オム,justice
judge,141,クラッチ,justice
judge,142,ノルマンド,justice
judge,143,カウ・アロア,justice
judge,144,黒木善三,justice
judge,145,シンク・ログラム,justice
judge,146,陣内伍兵,justice
judge,147,黒原玲文,justice
judge,148,南尾修人,justice
judge,149,村地神乃介,justice
judge,150,ジューン・デビッドソン,justice
judge,151,魅園霊奈,justice
judge,152,白百合咲羽,justice
judge,153,花丸屋数,justice
judge,154,布袋大綱,justice
judge,155,五重寺愛花,justice
judge,156,寺路進未,justice
judge,157,渦守うずめ,justice
judge,158,スクワート・スワン,justice
judge,159,下間憲正,justice
judge,160,大出アキ,justice
judge,161,浅葱有翔,justice
judge,162,ダニエル・スタービン,rough
judge,163,二階堂修吾,justice
lightning,1,円谷未知,special
lightning,2,枝木早樹,special
lightning,3,緑川リュウジ,bond
lightning,4,中岡慎太郎,tension
lightning,5,ベノム・ブラグ,tension
lightning,6,碇頑五郎,tension
lightning,7,長谷部精児,special
lightning,8,亜風炉照美,special
lightning,9,霧隠才次,special
lightning,10,西垣守,counter
lightning,11,判竹夫,special
lightning,12,不死祀,tension
lightning,13,松野空介,tension
lightning,14,聖徳泰治,special
lightning,15,三国賢士,tension
lightning,16,明井評吾,special
lightning,17,湧口鉄馬,tension
lightning,18,宇枝歴人,tension
lightning,19,河伯童子,tension
lightning,20,折田造,special
lightning,21,合方調,tension
lightning,22,伊集院満,special
lightning,23,虹野克,tension
lightning,24,蛸田轟大,tension
lightning,25,江幡葉,special
lightning,26,上月邦宏,tension
lightning,27,鯨山広,special
lightning,28,大根成弥,special
lightning,29,阿久鋭矢,tension
lightning,30,針辻大五郎,special
lightning,31,縄代亮,tension
lightning,32,オフ斎藤,tension
lightning,33,大場充則,tension
lightning,34,大高光洋,tension
lightning,35,梶原朝夫,tension
lightning,36,声野亮介,special
lightning,37,塗谷貞哉,tension
lightning,38,沖ノ島宗,special
lightning,39,笹本慎二,tension
lightning,40,太宰梅吉,tension
lightning,41,場寅仕,special
lightning,42,悟里開,tension
lightning,43,自亜米佳,special
lightning,44,島袋誠治,tension
lightning,45,沢村瞬,tension
lightning,46,山崎咲音,tension
lightning,47,大出アキ,special
lightning,48,竹中敏晃,tension
lightning,49,下矢仁美,tension
lightning,50,水沼志帆,special
lightning,51,内藤有人,tension
lightning,52,広岡千早花,tension
lightning,53,高田心菜,tension
lightning,54,藤枝布花,tension
lightning,55,秀宝滋弥,special
lightning,56,相山尚美,tension
lightning,57,釘谷久,special
lightning,58,畑山有,tension
lightning,59,吉川基史,special
lightning,60,作世秀光,tension
lightning,61,松村綺依,special
lightning,62,波留竜之介,tension
lightning,63,双瀬萌未,tension
lightning,64,須和文章,special
lightning,65,山流邦夫,tension
lightning,66,高世保奈美,tension
lightning,67,笠山走,special
lightning,68,欧後欽介,tension
lightning,69,我王剛鉄,tension
lightning,70,ラッティモ・オパーレ,special
lightning,71,ホルヘ・オルテガ,tension
lightning,72,パク・ペクヨン,tension
lightning,73,クライブ・シザース,tension
lightning,74,チョ・ジョンス,tension
lightning,75,吉良瞳子,special
lightning,76,緑川リュウジ,bond
lightning,77,宇奈本義一,special
lightning,78,ロブ・パーカー,special
lightning,79,リカルド・アグエロ,tension
lightning,80,グリロ・サントス,tension
lightning,81,ラガルート・カルロス,tension
lightning,82,クロウ,special
lightning,83,ジャッカル,special
lightning,84,ケーン・サイトー,special
lightning,85,コヨーテ,tension
lightning,86,伴足命,tension
lightning,87,山札始,special
lightning,88,ディンガ・フィグラン,tension
lightning,89,ムブレロ・ツィンバ,tension
lightning,90,ヤン・オルデノ,tension
lightning,91,マキシミリアン・ミラツ,special
lightning,92,スキッド・ウー,tension
lightning,93,イサーク・セサル,tension
lightning,94,エルフェル,tension
lightning,95,棍健斗,special
lightning,96,多治順風,special
lightning,97,忌部啓司郎,tension
lightning,98,彫之内敬晴,tension
lightning,99,穴沢希多留,tension
lightning,100,杣有基,special
lightning,101,乳井和華子,tension
lightning,102,相良幹聖,special
lightning,103,封地縛,tension
lightning,104,天駆流智也,tension
lightning,105,石津宗雅,tension
lightning,106,石作秋兼,tension
lightning,107,破我力,special
lightning,108,方違恵武,special
lightning,109,錦織維子,tension
lightning,110,桃山我聞,tension
lightning,111,南条房斗,tension
lightning,112,毒島兼真,special
lightning,113,晴井水成,tension
lightning,114,村上軍記,tension
lightning,115,月島景秀,tension
lightning,116,宝亀竜平,tension
lightning,117,華花原蝶子,tension
lightning,118,石川神兵,tension
lightning,119,染谷伝統,tension
lightning,120,相模俊彦,tension
lightning,121,府老明貞,tension
lightning,122,五ノ神栄治,special
lightning,123,虚木実美,tension
lightning,124,古戸冥次,tension
lightning,125,二角孝男,tension
lightning,126,小津野役,special
lightning,127,照灯君善,tension
lightning,128,久流間歯振,tension
lightning,129,大賀美音男,tension
lightning,130,駆茂,tension
lightning,131,境長音久,tension
lightning,132,額鉢菅夫,tension
lightning,133,外川近之助,tension
lightning,134,堂波天継,tension
lightning,135,志荷賀実人,tension
lightning,136,芦賀唯嘉,special
lightning,137,礼野静,special
lightning,138,巴ジータ,tension
lightning,139,鈴林凛々,tension
lightning,140,雷轟レント,tension
lightning,141,三場りお,tension
lightning,142,小野田裂夫,tension
lightning,143,鎖田分,special
lightning,144,知念小石,tension
lightning,145,月読三日,special
lightning,146,割戸謙信,tension
lightning,147,麻布良一,tension
lightning,148,雷同メイコ,special
lightning,149,千代木希,tension
lightning,150,フェッタ,tension
lightning,151,デッキ,tension
lightning,152,シープ,tension
lightning,153,稲葉大安,special
lightning,154,エンギル,special
lightning,155,ドリル,tension
lightning,156,沖田総司,tension
lightning,157,ジャン・カトー,special
lightning,158,馬場クリム,tension
lightning,159,ウルル・アパ,special
lightning,160,ウルル・アパ,special
lightning,161,シモン・クルール,special
lightning,162,太布里杏,tension
lightning,163,夏元惇,tension
lightning,164,久世麻更,special
lightning,165,高森潜蔵,tension
lightning,166,紅菊,tension
lightning,167,Ｃグマ,tension
lightning,168,リラ・サンク,special
lightning,169,照井眠宮,tension
meteor,1,猿田登,rough
meteor,2,勝喜快翔,bond
meteor,3,ニクラス・カスター,special
meteor,4,速吹烈風,bond
meteor,5,風乃葉丹,tension
meteor,6,槍野育生,justice
meteor,7,団土弾,justice
meteor,8,速水真刃,special
meteor,9,興津蒼空,justice
meteor,10,加藤段,counter
meteor,11,跳山段,bond
meteor,12,猿飛佐之助,rough
meteor,13,鎌井達夫,special
meteor,14,霊幻道久,tension
meteor,15,鳴門潮,special
meteor,16,源義雄,rough
meteor,17,彦牽牛,counter
meteor,18,占部智人,tension
meteor,19,彗星槙矢,bond
meteor,20,星見透馬,counter
meteor,21,岩永鉱介,rough
meteor,22,赤道直元,rough
meteor,23,稲子芳信,bond
meteor,24,蛍原鉄洋,counter
meteor,25,弥勒知,special
meteor,26,雲野久斗,counter
meteor,27,雀野京平,justice
meteor,28,安倍晴昭,bond
meteor,29,幸田大吉,rough
meteor,30,夕霧爽也,bond
meteor,31,天川光博,rough
meteor,32,菅野周,counter
meteor,33,影田巡,counter
meteor,34,古坂荘六,counter
meteor,35,鳥山忠晴,counter
meteor,36,野崎利洋,bond
meteor,37,星読カウカ,rough
meteor,38,豊見山世津,justice
meteor,39,天星悠真,special
meteor,40,夏焼雅,bond
meteor,41,アラクネス,rough
meteor,42,須藤茉麻,bond
meteor,43,熊井友理奈,bond
meteor,44,基山ヒロト,counter
meteor,45,属性賀疾風,counter
meteor,46,真庭健人,bond
meteor,47,森川源太,rough
meteor,48,一筆早徒,bond
meteor,49,山音実里,bond
meteor,50,読矢聡,special
meteor,51,銅原帝人,counter
meteor,52,飛豆崇利,special
meteor,53,阿藤嵐,counter
meteor,54,葦河迅兵,tension
meteor,55,判目才人,tension
meteor,56,山部師臣,tension
meteor,57,雷同アカリ,bond
meteor,58,三彼志大哉,rough
meteor,59,軌堂衛里世,special
meteor,60,八田跳介,special
meteor,61,又野猫美,rough
meteor,62,鹿知央介,special
meteor,63,槍崎由自,justice
meteor,64,駆乗活基,tension
meteor,65,内成海児,justice
meteor,66,ワン・モンモン,counter
meteor,67,糸島花彦,counter
meteor,68,我道毘沙丸,counter
meteor,69,イ・ジンソン,bond
meteor,70,遊馬一紗,tension
meteor,71,熊森ねねみ,rough
meteor,72,伊賀島仙一,special
meteor,73,御雷迅矢,justice
meteor,74,忠道風貴,justice
misanga,1,吉備津頼児,tension
misanga,2,支倉美月,justice
misanga,3,乙女乃スピカ,tension
misanga,4,凄井アタリ,justice
misanga,5,喜峰岬,tension
misanga,6,秋山海里,rough
misanga,7,愛須英流沙,justice
misanga,8,五十部絵里花,counter
misanga,9,御堂玲華,special
misanga,10,館野舞,counter
misanga,11,梅田陽海,counter
misanga,12,田辺さやか,justice
misanga,13,白菊悠人,justice
misanga,14,沢田千早花,special
misanga,15,見野百合香,rough
misanga,16,孝橋来夏,justice
misanga,17,古都紬,rough
misanga,18,ジャッロ・トパーツィオ,bond
misanga,19,堂垣時沙,rough
misanga,20,ジャン・ギュタン,rough
misanga,21,ジュリアン・ルソー,rough
misanga,22,魚吹華,bond
misanga,23,朝長郁海,justice
misanga,24,舞姫華夜,bond
misanga,25,鵜坂有加里,bond
misanga,26,小流古リオ,tension
misanga,27,連環貂子,counter
misanga,28,石手実奈美,special
misanga,29,白鷺朱純,tension
misanga,30,ギュエール,counter
misanga,31,垣添涼奈,justice
misanga,32,革包ビアンカ,special
misanga,33,籾井智朝,tension
misanga,34,佐曽利アン,special
misanga,35,戸津府超子,counter
misanga,36,尾辺良歌子,bond
misanga,37,隠辺秋芭,rough
misanga,38,触多ポルテ,tension
misanga,39,東海林タケル,bond
misanga,40,林野不二子,rough
misanga,41,風間麗美,special
misanga,42,星降香宮夜,bond
misanga,43,雛乃金輔,counter
misanga,44,大徳チュール,bond
misanga,45,着矢琉可愛,rough
misanga,46,犬飼咆子,bond
misanga,47,露海琉美,special
misanga,48,大社蛇巳,rough
misanga,49,讃瞳律世,counter
misanga,50,椎名沙亜耶,tension
misanga,51,白雪姫子,bond
misanga,52,色槻加羅,rough
misanga,53,長田銀杏,justice
misanga,54,三都美美花,special
misanga,55,五水有栖,bond
misanga,56,笛水忍,counter
misanga,57,門脇瑞菜,bond
misanga,58,奈諏ころん,justice
misanga,59,宇佐美ツ実,tension
misanga,60,麩羽りぼん,special
misanga,61,物部黒胡,rough
misanga,62,藻雲もこ,bond
misanga,63,弓兎ナコ,counter
misanga,64,霜桐おこじょ,bond
misanga,65,歩須風澄,bond
misanga,66,原野愛,counter
misanga,67,霜桐みとん,tension
misanga,68,ベータ,tension
misanga,69,虹橋レイン,rough
misanga,70,豪炎寺夕香,special
misanga,71,シパ・ヌイイ,bond
misanga,72,香坂幸恵,counter
misanga,73,マイ,tension
misanga,74,チェル,special
misanga,75,ローコ,special
misanga,76,夜須天慧,tension
misanga,77,モリー,special
misanga,78,仏野粉乃,justice
misanga,79,仲見世茶代,rough
misanga,80,丹勢谷宗次,bond
misanga,81,セルジュ・ノワール,bond
misanga,82,雨道未理科,justice
misanga,83,多聞花蓮,bond
misanga,84,梅雨咲多恵,tension
misanga,85,井馬里陽愛,tension
misanga,86,銀鐘綺冷,counter
misanga,87,御香美瀬恋,tension
misanga,88,妃睡深夜奈,bond
misanga,89,姉ヶ崎聖子,rough
misanga,90,清見津千鶴,counter
misanga,91,天条天未,tension
misanga,92,紫乃宮笠音,counter
misanga,93,雅名麗華,counter
misanga,94,文芸葉月,rough
misanga,95,紫乃宮笠音,counter
misanga,96,エリザ・マノン,justice
misanga,97,明童芽衣奈,special
misanga,98,狩部蘭子,counter
misanga,99,観月路子,special
oden,1,生地釜雄,bond
oden,2,ゲイリー・リンクス,special
oden,3,虻山保,counter
oden,4,伊香保典,rough
oden,5,若鍵玲南,justice
oden,6,平田兼,justice
oden,7,新竹颯太,tension
oden,8,山根羊,justice
oden,9,米山植人,special
oden,10,雅野麗一,counter
oden,11,牛尾空也,tension
oden,12,武羅渡牙,rough
oden,13,根津光夫,bond
oden,14,厚田直,tension
oden,15,三河屋三郎,justice
oden,16,臼引十兵衛,special
oden,17,黒川真夜,tension
oden,18,長崎紀一,tension
oden,19,亜鉛栄,special
oden,20,野沢公顕,tension
oden,21,寿老仁,rough
oden,22,弥生比奈太,counter
oden,23,天山吉行,special
oden,24,静岡久志,rough
oden,25,黄金丸雄,rough
oden,26,与木奏,rough
oden,27,鍋山海人,rough
oden,28,紅伸樹,rough
oden,29,柄崎大吾,special
oden,30,白菜望彦,tension
oden,31,法蓮草矢,counter
oden,32,貫地谷紀久,rough
oden,33,風流厘,tension
oden,34,愛媛安春,bond
oden,35,清涼瑞章,justice
oden,36,煎野正秋,tension
oden,37,末武安人,rough
oden,38,四川才介,bond
oden,39,小出石力丸,tension
oden,40,豆葉有起哉,rough
oden,41,密島隆介,rough
oden,42,鱈見文太,tension
oden,43,茶山充裕,special
oden,44,酒井敏康,justice
oden,45,草部栄一,tension
oden,46,和歌山慶,special
oden,47,片畑尚,justice
oden,48,賀夢健太郎,tension
oden,49,山西浩正,justice
oden,50,寿太郎,counter
oden,51,高城貞人,bond
oden,52,青森潤,bond
oden,53,二瓶晶,special
oden,54,総細建,tension
oden,55,吉岡瞬,rough
oden,56,漁火三省,counter
oden,57,酒田達士,justice
oden,58,比嘉大樹,special
oden,59,堀口将志,rough
oden,60,牛原蒼甫,bond
oden,61,永野幸平,rough
oden,62,冷粋翔,tension
oden,63,広瀬芳正,counter
oden,64,青野穂高,counter
oden,65,千葉朗人,rough
oden,66,花田誠治,justice
oden,67,五十嵐明,rough
oden,68,小幡竜也,bond
oden,69,戸田雄一郎,special
oden,70,三重泰輔,rough
oden,71,空野礼文,tension
oden,72,真仮名井承,bond
oden,73,氷山有起哉,counter
oden,74,押矢万部,tension
oden,75,円輪豊,bond
oden,76,若杉洋,rough
oden,77,末久朗,justice
oden,78,瑞慶覧礼人,bond
oden,79,渡具知雅洋,counter
oden,80,串田香津世,special
oden,81,知念直輝,justice
oden,82,広部悟,justice
oden,83,蛸谷紀子,tension
oden,84,副島健人,justice
oden,85,及川勝信,rough
oden,86,長坂彰人,counter
oden,87,岸尚徳,tension
oden,88,木葉伸年,special
oden,89,田頭友好,justice
oden,90,房川小梅,rough
oden,91,井本紗由美,justice
oden,92,宮永竜介,bond
oden,93,越前冬夏,tension
oden,94,綱海条介,tension
oden,95,富岡雪歌,bond
oden,96,茂野久彦,special
oden,97,松浦義人,justice
oden,98,海川佳典,rough
oden,99,津野軍治,justice
oden,100,田野倉安志,justice
oden,101,フリオ・アコスタ,bond
oden,102,浜名刻菓,counter
oden,103,ファル・ファルーク,counter
oden,104,マッローネ・ティタニート,tension
oden,105,丹野立彦,special
oden,106,熱田実,special
oden,107,黄池善三,tension
oden,108,荒馬克洋,bond
oden,109,リオネル・クルス,rough
oden,110,国頭貴賀,tension
oden,111,トニー・ストライダス,justice
oden,112,ヘルマン・サムエル,bond
oden,113,ミゲル・アーロン,bond
oden,114,ディノ・マルディーニ,tension
oden,115,ホアン・ナダル,tension
oden,116,クロード・モロー,tension
oden,117,白雪リンゴ,rough
oden,118,イゴル・フレイレ,tension
oden,119,志村辛太郎,rough
oden,120,西寒田聖平,rough
oden,121,芋川祥幸,justice
oden,122,ムラムリ・ザマニ,special
oden,123,マヌエル・エーヴェルス,justice
oden,124,ヒュー・マケバ,counter
oden,125,曲直瀬倫義,rough
oden,126,クルト・ザベル,bond
oden,127,黒豆煮,counter
oden,128,黒豆煮,counter
oden,129,隠津島小綾,bond
oden,130,高力岐一郎,bond
oden,131,山菜茜,bond
oden,132,空野葵,tension
oden,133,瀬戸水鳥,special
oden,134,深田顎,rough
oden,135,伊本武司,bond
oden,136,平丹洸,rough
oden,137,空原腹乃介,counter
oden,138,空原腹乃介,counter
oden,139,上須田四郎,rough
oden,140,野谷計一郎,justice
oden,141,滑川巳矩児,justice
oden,142,河崎銀太,bond
oden,143,青菜梗一,special
oden,144,寧山食朗,tension
oden,145,羽貞資重,counter
oden,146,鉄鍋佳降,tension
oden,147,八家通,bond
oden,148,若海稚藻,special
oden,149,タント・タべリーヨ,rough
oden,150,土鍋吉之助,special
oden,151,南瓜衣留,rough
oden,152,菜花黄名子,tension
oden,153,角燈参人,rough
oden,154,靴作小仁,special
oden,155,律高品子,tension
oden,156,緋衣満,special
oden,157,典角韋,rough
oden,158,典角韋,rough
oden,159,古池敦毅,rough
oden,160,ウィル・プディング,counter
oden,161,氷見谷愛蔵,special
oden,162,氷見谷愛蔵,special
oden,163,真二屋才人,justice
oden,164,真二屋才人,justice
oden,165,浦部奈美,counter
oden,166,木崎里,counter
penguin,1,洞面秀一郎,counter
penguin,2,バルバトス,rough
penguin,3,音無春奈,bond
penguin,4,大杉太,counter
penguin,5,多聞北玄,bond
penguin,6,西郷隆,tension
